date,geography,geography code,Type of central heating in household: Total: All households,Type of central heating in household: No central heating,Type of central heating in household: Mains gas only,Type of central heating in household: Tank or bottled gas only,Type of central heating in household: Electric only,Type of central heating in household: Oil only,Type of central heating in household: Wood only,Type of central heating in household: Solid fuel only,Type of central heating in household: Renewable energy only,Type of central heating in household: District or communal heat networks only,Type of central heating in household: Other central heating only,Type of central heating in household: Two or more types of central heating (not including renewable energy),Type of central heating in household: Two or more types of central heating (including renewable energy)
2021,Ribble Valley,E07000124,26747,301,19230,704,1062,1888,92,117,188,82,77,2801,205
2021,Rossendale,E07000125,30562,348,25262,146,1162,231,21,65,50,78,165,2922,112
2021,South Ribble,E07000126,48586,654,40817,333,1972,383,31,36,78,116,170,3776,220
2021,West Lancashire,E07000127,48533,443,38028,1116,2177,1586,81,132,131,293,263,4103,180
2021,Wyre,E07000128,50767,631,40193,808,2830,1226,107,89,120,46,235,4281,201
2021,Blaby,E07000129,42575,315,36354,210,1561,262,29,37,96,88,170,3294,159
2021,Charnwood,E07000130,73785,705,61478,436,3623,431,74,84,138,148,357,5962,349
2021,Harborough,E07000131,40413,265,30210,543,2308,2586,81,55,366,109,132,3455,303
2021,Hinckley and Bosworth,E07000132,49443,425,39737,454,2584,1263,66,148,193,56,184,4052,281
2021,Melton,E07000133,22599,262,15906,230,1173,2155,53,59,155,24,77,2327,178
2021,North West Leicestershire,E07000134,44972,341,34485,793,2344,1692,73,457,379,82,229,3850,247
2021,Oadby and Wigston,E07000135,22622,228,19371,59,985,25,4,2,19,50,121,1675,83
2021,Boston,E07000136,29404,324,19732,488,2315,3165,93,163,190,106,199,2446,183
2021,East Lindsey,E07000137,64755,868,34163,2423,5654,12499,361,615,789,108,343,6402,530
2021,Lincoln,E07000138,42507,513,34321,193,3486,55,19,8,78,125,377,3191,141
2021,North Kesteven,E07000139,50990,360,34369,836,2713,6533,168,592,554,33,141,4254,437
2021,South Holland,E07000140,40702,426,25771,873,2724,5737,95,399,423,55,245,3649,305
2021,South Kesteven,E07000141,62850,621,42771,1054,4710,6416,136,335,447,198,278,5507,377
2021,West Lindsey,E07000142,42346,360,27954,1193,1952,5413,171,282,463,50,183,3928,397
2021,Breckland,E07000143,60359,630,29850,927,5779,14278,275,204,1271,114,309,5992,730
2021,Broadland,E07000144,57759,482,39973,694,3590,6384,177,107,656,98,171,4923,504
2021,Great Yarmouth,E07000145,44544,860,28158,796,4313,5489,67,109,308,106,335,3762,241
2021,King's Lynn and West Norfolk,E07000146,67467,797,30639,1594,8086,16930,247,351,1401,160,375,6224,663
2021,North Norfolk,E07000147,48378,789,21278,1160,5509,11895,312,280,783,118,187,5586,481
2021,Norwich,E07000148,64459,980,48786,306,6854,142,30,23,158,1573,641,4617,349
2021,South Norfolk,E07000149,61381,658,30848,850,5299,14867,284,161,1302,151,204,5889,868
2021,Craven,E07000163,26068,465,17390,534,1574,2238,135,158,198,65,75,3004,232
2021,Hambleton,E07000164,40803,397,22039,1045,2689,8028,321,331,772,80,158,4530,413
2021,Harrogate,E07000165,71169,768,49989,1687,4115,5650,272,198,752,131,295,6825,487
2021,Richmondshire,E07000166,20945,200,10382,463,1286,4742,170,216,287,66,101,2832,200
2021,Ryedale,E07000167,24714,379,11596,1001,1514,5249,337,442,428,45,101,3339,283
2021,Scarborough,E07000168,51124,924,36651,555,4185,2306,170,248,318,88,293,5092,294
2021,Selby,E07000169,39562,336,26677,1203,2138,4382,106,568,348,91,119,3289,305
2021,Ashfield,E07000170,54510,386,45614,218,1946,260,46,463,93,220,398,4664,202
2021,Bassetlaw,E07000171,51458,420,36800,984,2391,4258,161,801,446,87,336,4403,371
2021,Broxtowe,E07000172,48362,476,40737,168,2482,68,29,99,59,53,232,3765,194
2021,Gedling,E07000173,51553,428,42741,280,3070,263,30,112,114,152,275,3897,191
2021,Mansfield,E07000174,48030,359,40468,228,1689,121,20,468,104,240,462,3693,178
2021,Newark and Sherwood,E07000175,53333,420,39758,634,2340,3710,107,501,407,61,283,4751,361
2021,Rushcliffe,E07000176,49885,357,40690,451,2195,1436,53,87,232,60,156,3872,296
2021,Cherwell,E07000177,65894,753,43909,1071,6262,6508,106,120,552,297,457,5349,510
2021,Oxford,E07000178,55237,904,41802,320,6709,88,16,12,137,312,603,3992,342
2021,South Oxfordshire,E07000179,61497,553,43474,1236,4994,4359,102,103,533,94,211,5277,561
2021,Vale of White Horse,E07000180,57498,542,42203,783,4786,3276,75,60,495,125,221,4526,406
2021,West Oxfordshire,E07000181,47983,362,31582,685,4340,4869,120,87,608,70,214,4579,467
2021,Mendip,E07000187,50294,698,32621,757,3829,5370,240,200,444,84,188,5354,509
2021,Sedgemoor,E07000188,53904,1005,32773,1368,5495,6559,175,164,388,123,269,5126,459
2021,South Somerset,E07000189,75936,1198,43247,1528,8671,10810,319,292,1055,80,358,7634,744
2021,Cannock Chase,E07000192,43456,417,36060,152,2691,80,17,129,24,75,224,3455,132
2021,East Staffordshire,E07000193,51293,823,38295,734,3381,2432,102,170,242,111,422,4346,235
2021,Lichfield,E07000194,45631,404,35947,776,2587,1313,63,100,157,92,216,3777,199
2021,Newcastle-under-Lyme,E07000195,53425,474,43311,436,2565,1032,41,161,134,145,309,4555,262
2021,South Staffordshire,E07000196,46124,405,36550,1244,1655,1523,58,99,117,152,197,3940,184
2021,Stafford,E07000197,60049,568,44643,1330,3380,3615,128,202,276,92,263,5275,277
2021,Staffordshire Moorlands,E07000198,42354,437,30835,670,1604,3238,181,402,166,56,154,4350,261
2021,Tamworth,E07000199,32895,355,27282,128,2273,26,5,37,10,46,181,2460,92
2021,Babergh,E07000200,40199,431,22144,597,3566,7883,133,90,625,93,140,3998,499
2021,Ipswich,E07000202,59507,1040,44610,246,8239,131,8,9,111,368,541,3946,258
2021,Mid Suffolk,E07000203,44339,461,18658,928,3994,13438,175,109,1069,121,170,4682,534
2021,Elmbridge,E07000207,55590,524,45053,210,4307,125,8,10,120,362,353,4212,306
2021,Epsom and Ewell,E07000208,31321,330,25630,91,2476,27,0,5,141,132,178,2137,174
2021,Guildford,E07000209,55757,568,42891,655,4375,1116,42,21,337,241,314,4656,541
2021,Mole Valley,E07000210,37139,360,28556,302,2767,1123,29,15,182,166,171,3109,359
